Time	tn [-]	VHM0 [m]	VTM02 [s]	VEPK [m2 s]	Tref [degrees_C]	TEMP [degrees_C]	Bat [-]	Av [-]	Ax [-]	Ay [-]	Ori [degree]	Incli [degree]	DQF [-]	FQF [-]
2023-09-01T00:01:00.000Z	10	0.920	3.636	6.2951E-01	25.00	18.00	3	0.15125	0.06250	0.05625	130.800	69.829	1010000000100000	1
2023-09-01T00:30:00.000Z	10	0.900	3.704	6.9225E-01	25.00	18.00	3	0.15250	0.06250	0.05250	 94.200	69.873	1010000000100000	1
2023-09-01T01:00:00.000Z	10	0.880	3.774	7.8835E-01	25.00	18.10	3	0.15125	0.06250	0.05125	102.700	69.829	1010000000100000	1
2023-09-01T01:31:00.000Z	10	0.860	3.738	6.1705E-01	25.00	18.15	3	0.14875	0.06125	0.05000	102.700	69.829	1010000000100000	1
2023-09-01T02:00:00.000Z	10	0.840	3.670	4.4140E-01	25.00	18.10	3	0.14875	0.06250	0.05125	112.500	69.829	1010000000100000	1
2023-09-01T02:30:00.000Z	10	0.870	3.738	7.0271E-01	25.00	18.15	3	0.14875	0.06250	0.05125	123.800	69.829	1010000000100000	1
2023-09-01T03:01:00.000Z	10	0.940	3.810	5.8696E-01	25.00	18.15	3	0.14875	0.06125	0.05000	137.800	69.829	1010000000100000	1
2023-09-01T03:30:00.000Z	10	0.990	3.960	7.8051E-01	25.00	18.15	3	0.14500	0.06000	0.04750	116.700	69.829	1010000000100000	1
2023-09-01T04:00:00.000Z	10	0.990	4.000	8.9332E-01	25.00	18.15	3	0.14625	0.06125	0.04875	111.100	69.785	1010000000100000	1
2023-09-01T04:31:00.000Z	10	1.020	3.846	5.8111E-01	25.00	18.15	3	0.14500	0.05875	0.05000	122.300	69.785	1010000000100000	1
2023-09-01T05:00:00.000Z	10	0.970	3.883	7.3139E-01	25.00	18.10	3	0.14500	0.05875	0.04875	128.000	69.829	1010000000100000	1
2023-09-01T05:30:00.000Z	10	1.010	3.883	8.7127E-01	25.00	18.10	3	0.14500	0.06125	0.04875	137.800	69.785	1010000000100000	1
2023-09-01T06:30:00.000Z	10	1.020	3.846	7.0978E-01	25.00	18.10	3	0.14625	0.06250	0.05125	132.200	69.785	1010000000100000	1
2023-09-01T07:00:00.000Z	10	1.180	4.000	9.7745E-01	25.00	18.15	3	0.14875	0.06250	0.05250	144.800	69.741	1010000000100000	1
2023-09-01T07:31:00.000Z	10	1.210	4.124	1.3063E+00	25.00	18.15	3	0.14875	0.06250	0.05125	143.400	69.785	1010000000100000	1
2023-09-01T09:01:00.000Z	10	0.970	3.883	6.5849E-01	25.00	18.10	3	0.14875	0.06000	0.04500	125.200	69.741	1010000000100000	1
2023-09-01T09:30:00.000Z	10	1.000	3.922	8.4976E-01	25.00	17.95	3	0.14875	0.06250	0.04750	128.000	69.697	1010000000100000	1
2023-09-01T10:00:00.000Z	10	0.870	3.774	4.7340E-01	25.00	17.75	3	0.14875	0.06250	0.04000	112.500	69.741	1010000000100000	1
2023-09-01T11:00:00.000Z	10	0.750	3.571	2.6374E-01	25.00	17.80	3	0.15125	0.06125	0.04250	 99.800	69.873	1010000000100000	1
2023-09-01T12:30:00.000Z	10	0.740	3.478	3.8373E-01	25.00	17.95	3	0.15250	0.05125	0.04625	108.300	69.873	1010000000100000	1
2023-09-01T13:00:00.000Z	10	0.710	3.390	2.4962E-01	25.00	18.10	3	0.15000	0.04875	0.04625	 92.800	69.873	1010000000100000	1
2023-09-01T13:31:00.000Z	10	0.770	3.448	3.6685E-01	25.00	18.15	3	0.15000	0.04750	0.04500	 94.200	69.961	1010000000100000	1
2023-09-01T14:00:00.000Z	10	0.750	3.390	2.8286E-01	25.00	18.25	3	0.15000	0.04875	0.05375	 88.600	69.961	1010000000100000	1
2023-09-01T14:30:00.000Z	10	0.810	3.419	3.7802E-01	25.00	18.30	3	0.14875	0.04875	0.05375	119.500	69.961	1010000000100000	1
2023-09-01T17:00:00.000Z	10	0.900	3.604	5.5277E-01	25.00	18.40	3	0.15375	0.05625	0.05875	104.100	69.961	1010000000100000	1
2023-09-01T18:01:00.000Z	10	0.840	3.509	3.3194E-01	25.00	18.20	3	0.15500	0.05375	0.05875	122.300	69.873	1010000000100000	1
2023-09-01T18:30:00.000Z	10	0.830	3.571	4.6172E-01	25.00	18.15	3	0.15375	0.05250	0.05750	118.100	69.873	1010000000100000	1
2023-09-01T20:00:00.000Z	10	0.780	3.540	4.0341E-01	25.00	18.10	3	0.15500	0.05750	0.05875	113.900	69.873	1010000000100000	1
2023-09-01T20:30:00.000Z	10	0.730	3.448	3.3194E-01	25.00	18.05	3	0.15500	0.05875	0.05875	129.400	69.873	1010000000100000	1
2023-09-01T21:01:00.000Z	10	0.750	3.509	4.2409E-01	25.00	18.05	3	0.15500	0.05750	0.05875	106.900	69.873	1010000000100000	1
2023-09-01T21:30:00.000Z	10	0.760	3.419	4.6636E-01	25.00	18.00	3	0.15500	0.05625	0.05875	 84.400	69.917	1010000000100000	1
2023-09-01T22:31:00.000Z	10	0.850	3.509	6.8194E-01	25.00	18.00	3	0.15375	0.05625	0.05125	108.300	69.917	1010000000100000	1
2023-09-01T23:00:00.000Z	10	0.820	3.419	4.5257E-01	25.00	18.00	3	0.15500	0.05500	0.04500	 94.200	69.873	1010000000100000	1
2023-09-01T23:30:00.000Z	10	0.870	3.509	9.8235E-01	25.00	18.00	3	0.15250	0.05375	0.04500	 92.800	69.917	1010000000100000	1
