Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	THETA1 [degree]	STHETA1 [degree]	VSPEC1D_VEPK [-]	Skewf [-]	Kurtf [-]	DQF [-]	FQF [-]
2023-09-01T00:01:00.000Z	0.025	0.0050	0.000025	274.2	70.7	3.9866E-05	 1.28	 1.92	1010000000100000	1
2023-09-01T00:01:00.000Z	0.030	0.0050	0.000067	305.2	76.8	1.0675E-04	 0.13	 1.61	1010000000100000	1
2023-09-01T00:01:00.000Z	0.035	0.0050	0.000440	227.8	74.8	6.9961E-04	 2.19	 1.91	1010000000100000	1
2023-09-01T00:01:00.000Z	0.040	0.0050	0.002192	295.3	70.3	3.4825E-03	 0.60	 1.72	1010000000100000	1
2023-09-01T00:01:00.000Z	0.045	0.0050	0.001624	175.8	79.5	2.5799E-03	 0.37	 1.40	1010000000100000	1
2023-09-01T00:01:00.000Z	0.050	0.0050	0.000831	154.7	67.1	1.3202E-03	-0.05	 1.80	1010000000100000	1
2023-09-01T00:01:00.000Z	0.055	0.0050	0.001203	163.1	67.5	1.9113E-03	-0.69	 1.77	1010000000100000	1
2023-09-01T00:01:00.000Z	0.060	0.0050	0.001089	104.1	71.4	1.7294E-03	 0.58	 1.28	1010000000100000	1
2023-09-01T00:01:00.000Z	0.065	0.0050	0.001100	331.9	76.4	1.7468E-03	-1.28	 1.57	1010000000100000	1
2023-09-01T00:01:00.000Z	0.070	0.0050	0.001470	232.0	68.0	2.3344E-03	 0.35	 2.06	1010000000100000	1
2023-09-01T00:01:00.000Z	0.075	0.0050	0.000848	237.7	80.3	1.3468E-03	-0.91	 1.70	1010000000100000	1
2023-09-01T00:01:00.000Z	0.080	0.0050	0.000896	343.1	71.5	1.4230E-03	 2.21	 2.10	1010000000100000	1
2023-09-01T00:01:00.000Z	0.085	0.0050	0.001522	198.3	70.3	2.4176E-03	-1.08	 1.81	1010000000100000	1
2023-09-01T00:01:00.000Z	0.090	0.0050	0.001537	334.7	73.0	2.4419E-03	-0.29	 1.41	1010000000100000	1
2023-09-01T00:01:00.000Z	0.095	0.0050	0.001316	241.9	67.0	2.0913E-03	 2.19	 2.32	1010000000100000	1
2023-09-01T00:01:00.000Z	0.100	0.0075	0.001127	351.6	68.8	1.7909E-03	-0.41	 1.64	1010000000100000	1
2023-09-01T00:01:00.000Z	0.110	0.0100	0.001568	350.2	70.8	2.4911E-03	 0.50	 1.86	1010000000100000	1
2023-09-01T00:01:00.000Z	0.120	0.0100	0.000937	  9.8	76.7	1.4885E-03	 0.06	 1.45	1010000000100000	1
2023-09-01T00:01:00.000Z	0.130	0.0100	0.001384	119.5	74.3	2.1985E-03	 0.73	 1.65	1010000000100000	1
2023-09-01T00:01:00.000Z	0.140	0.0100	0.001545	109.7	79.7	2.4541E-03	 1.07	 1.64	1010000000100000	1
2023-09-01T00:01:00.000Z	0.150	0.0100	0.003142	113.9	72.5	4.9917E-03	 1.41	 1.91	1010000000100000	1
2023-09-01T00:01:00.000Z	0.160	0.0100	0.006520	215.2	73.7	1.0358E-02	-1.23	 1.63	1010000000100000	1
2023-09-01T00:01:00.000Z	0.170	0.0100	0.026574	233.4	52.0	4.2214E-02	-1.60	 3.34	1010000000100000	1
2023-09-01T00:01:00.000Z	0.180	0.0100	0.080231	236.3	35.7	1.2745E-01	-1.46	 6.42	1010000000100000	1
2023-09-01T00:01:00.000Z	0.190	0.0100	0.130309	234.8	32.3	2.0700E-01	-0.63	 8.49	1010000000100000	1
2023-09-01T00:01:00.000Z	0.200	0.0100	0.415691	236.3	19.9	6.6034E-01	 1.04	19.14	1010000000100000	1
2023-09-01T00:01:00.000Z	0.210	0.0100	0.629510	237.7	20.1	1.0000E+00	-3.04	20.62	1010000000100000	1
2023-09-01T00:01:00.000Z	0.220	0.0100	0.547271	240.5	22.6	8.6936E-01	 0.23	11.00	1010000000100000	1
2023-09-01T00:01:00.000Z	0.230	0.0100	0.378021	241.9	25.5	6.0050E-01	 0.00	 9.03	1010000000100000	1
2023-09-01T00:01:00.000Z	0.240	0.0100	0.424088	243.3	22.0	6.7368E-01	 0.31	10.94	1010000000100000	1
2023-09-01T00:01:00.000Z	0.250	0.0100	0.266390	248.9	25.1	4.2317E-01	 0.66	10.25	1010000000100000	1
2023-09-01T00:01:00.000Z	0.260	0.0100	0.258508	251.7	27.5	4.1065E-01	-0.24	 7.08	1010000000100000	1
2023-09-01T00:01:00.000Z	0.270	0.0100	0.174160	243.3	36.3	2.7666E-01	 0.55	 4.02	1010000000100000	1
2023-09-01T00:01:00.000Z	0.280	0.0100	0.243463	253.1	32.9	3.8675E-01	 1.57	 5.91	1010000000100000	1
2023-09-01T00:01:00.000Z	0.290	0.0100	0.166493	237.7	36.3	2.6448E-01	 2.09	 4.90	1010000000100000	1
2023-09-01T00:01:00.000Z	0.300	0.0100	0.170711	246.1	36.5	2.7118E-01	 1.58	 4.11	1010000000100000	1
2023-09-01T00:01:00.000Z	0.310	0.0100	0.224741	261.6	32.0	3.5701E-01	 0.50	 4.31	1010000000100000	1
2023-09-01T00:01:00.000Z	0.320	0.0100	0.215928	271.4	33.5	3.4301E-01	-0.04	 4.51	1010000000100000	1
2023-09-01T00:01:00.000Z	0.330	0.0100	0.141879	271.4	40.2	2.2538E-01	 0.00	 3.02	1010000000100000	1
2023-09-01T00:01:00.000Z	0.340	0.0100	0.115578	279.8	43.3	1.8360E-01	-0.25	 2.44	1010000000100000	1
2023-09-01T00:01:00.000Z	0.350	0.0100	0.117907	274.2	40.5	1.8730E-01	 0.38	 3.51	1010000000100000	1
2023-09-01T00:01:00.000Z	0.360	0.0100	0.092752	268.6	46.4	1.4734E-01	 0.35	 2.65	1010000000100000	1
2023-09-01T00:01:00.000Z	0.370	0.0100	0.097020	272.8	46.2	1.5412E-01	 0.13	 2.93	1010000000100000	1
2023-09-01T00:01:00.000Z	0.380	0.0100	0.067691	277.0	47.7	1.0753E-01	 0.38	 2.23	1010000000100000	1
2023-09-01T00:01:00.000Z	0.390	0.0100	0.046060	279.8	53.6	7.3168E-02	-0.46	 2.73	1010000000100000	1
2023-09-01T00:01:00.000Z	0.400	0.0100	0.048422	292.5	45.5	7.6920E-02	-0.70	 3.12	1010000000100000	1
2023-09-01T00:01:00.000Z	0.410	0.0100	0.046060	288.3	44.8	7.3168E-02	-0.24	 3.08	1010000000100000	1
2023-09-01T00:01:00.000Z	0.420	0.0100	0.027798	270.0	51.7	4.4158E-02	 0.38	 2.48	1010000000100000	1
2023-09-01T00:01:00.000Z	0.430	0.0100	0.021009	275.6	49.8	3.3374E-02	 0.43	 2.56	1010000000100000	1
2023-09-01T00:01:00.000Z	0.440	0.0100	0.016692	295.3	52.5	2.6516E-02	-0.78	 2.50	1010000000100000	1
2023-09-01T00:01:00.000Z	0.450	0.0100	0.016776	291.1	52.0	2.6649E-02	-1.00	 2.71	1010000000100000	1
