Time	STATUS	LATITUDE	dqf_LATITUDE	fqf_LATITUDE	LONGITUDE	dqf_LONGITUDE	fqf_LONGITUDE
202411160032	3	54.01371	1110000000000000	1	6.58472	1110000000000000	1
202411160102	3	54.01362	1110000000000000	1	6.58463	1110000000000000	1
202411160132	3	54.01355	1110000000000000	1	6.58457	1110000000000000	1
202411160202	3	54.01353	1110000000000000	1	6.58450	1110000000000000	1
202411160232	3	54.01352	1110000000000000	1	6.58454	1110000000000000	1
202411160302	3	54.01351	1110000000000000	1	6.58444	1110000000000000	1
202411160332	3	54.01350	1110000000000000	1	6.58446	1110000000000000	1
202411160402	3	54.01349	1110000000000000	1	6.58452	1110000000000000	1
202411160432	3	54.01339	1110000000000000	1	6.58465	1110000000000000	1
202411160502	3	54.01319	1110000000000000	1	6.58555	1110000000000000	1
202411160532	3	54.01338	1110000000000000	1	6.58609	1110000000000000	1
202411160602	3	54.01345	1110000000000000	1	6.58613	1110000000000000	1
202411160632	3	54.01347	1110000000000000	1	6.58615	1110000000000000	1
202411160702	3	54.01348	1110000000000000	1	6.58622	1110000000000000	1
202411160732	3	54.01349	1110000000000000	1	6.58622	1110000000000000	1
202411160802	3	54.01346	1110000000000000	1	6.58620	1110000000000000	1
202411160832	3	54.01350	1110000000000000	1	6.58622	1110000000000000	1
202411160902	3	54.01351	1110000000000000	1	6.58620	1110000000000000	1
202411160932	3	54.01351	1110000000000000	1	6.58615	1110000000000000	1
202411161002	3	54.01354	1110000000000000	1	6.58611	1110000000000000	1
202411161032	3	54.01357	1110000000000000	1	6.58609	1110000000000000	1
202411161102	3	54.01366	1110000000000000	1	6.58598	1110000000000000	1
202411161132	3	54.01376	1110000000000000	1	6.58587	1110000000000000	1
202411161202	3	54.01387	1110000000000000	1	6.58551	1110000000000000	1
202411161232	3	54.01382	1110000000000000	1	6.58499	1110000000000000	1
202411161302	3	54.01372	1110000000000000	1	6.58478	1110000000000000	1
202411161332	3	54.01364	1110000000000000	1	6.58465	1110000000000000	1
202411161402	3	54.01355	1110000000000000	1	6.58454	1110000000000000	1
202411161432	3	54.01348	1110000000000000	1	6.58452	1110000000000000	1
202411161502	3	54.01347	1110000000000000	1	6.58452	1110000000000000	1
202411161532	3	54.01346	1110000000000000	1	6.58450	1110000000000000	1
202411161602	3	54.01342	1110000000000000	1	6.58452	1110000000000000	1
202411161632	3	54.01341	1110000000000000	1	6.58461	1110000000000000	1
202411161702	3	54.01336	1110000000000000	1	6.58472	1110000000000000	1
202411161732	3	54.01318	1110000000000000	1	6.58570	1110000000000000	1
202411161802	3	54.01338	1110000000000000	1	6.58607	1110000000000000	1
202411161832	3	54.01339	1110000000000000	1	6.58611	1110000000000000	1
202411161902	3	54.01342	1110000000000000	1	6.58615	1110000000000000	1
202411161932	3	54.01346	1110000000000000	1	6.58615	1110000000000000	1
202411162002	3	54.01341	1110000000000000	1	6.58620	1110000000000000	1
202411162032	3	54.01345	1110000000000000	1	6.58620	1110000000000000	1
202411162102	3	54.01340	1110000000000000	1	6.58622	1110000000000000	1
202411162132	3	54.01340	1110000000000000	1	6.58617	1110000000000000	1
202411162202	3	54.01342	1110000000000000	1	6.58613	1110000000000000	1
202411162232	3	54.01346	1110000000000000	1	6.58609	1110000000000000	1
202411162302	3	54.01351	1110000000000000	1	6.58605	1110000000000000	1
202411162332	3	54.01358	1110000000000000	1	6.58600	1110000000000000	1
202411170002	3	54.01376	1110000000000000	1	6.58579	1110000000000000	1
