Time	VZMX	dqf_VZMX	fqf_VZMX	VTZM	dqf_VTZM	fqf_VTZM	VH110	dqf_VH110	fqf_VH110	VT110	dqf_VT110	fqf_VT110	VAVH	dqf_VAVH	fqf_VAVH	VAVT	dqf_VAVT	fqf_VAVT	VHZA	dqf_VHZA	fqf_VHZA	VTZA	dqf_VTZA	fqf_VTZA	VZNW	dqf_VZNW	fqf_VZNW	VTZC	dqf_VTZC	fqf_VTZC
202411160000	4.1100	1110000000011110	1	 6.970	1110000000011110	1	2.9081	1110000000011110	1	6.580	1110000000011110	1	2.3350	1110000000011110	1	6.4900	1110000000011110	1	1.5168	1110000000011110	1	5.730	1110000000011110	1	313	1110000000010000	1	0.652	1110000000010100	1
202411160030	3.1400	1110000000011110	1	 7.270	1110000000011110	1	2.6154	1110000000011110	1	6.660	1110000000011110	1	2.0965	1110000000011110	1	6.4500	1110000000011110	1	1.3364	1110000000011110	1	5.350	1110000000011110	1	335	1110000000010000	1	0.588	1110000000010100	1
202411160100	4.3700	1110000000011110	1	 6.800	1110000000011110	1	3.0052	1110000000011110	1	6.730	1110000000011110	1	2.4325	1110000000011110	1	6.7900	1110000000011110	1	1.5496	1110000000011110	1	5.910	1110000000011110	1	304	1110000000010000	1	0.636	1110000000010100	1
202411160130	3.4400	1110000000011110	1	 6.500	1110000000011110	1	2.7612	1110000000011110	1	6.870	1110000000011110	1	2.2213	1110000000011110	1	6.7800	1110000000011110	1	1.4224	1110000000011110	1	5.830	1110000000011110	1	307	1110000000010000	1	0.657	1110000000010100	1
202411160200	4.0300	1110000000011110	1	 7.450	1110000000011110	1	2.8019	1110000000011110	1	6.910	1110000000011110	1	2.2164	1110000000011110	1	6.7600	1110000000011110	1	1.4076	1110000000011110	1	5.780	1110000000011110	1	311	1110000000010000	1	0.619	1110000000010100	1
202411160230	3.8200	1110000000011110	1	 6.050	1110000000011110	1	2.6762	1110000000011110	1	6.920	1110000000011110	1	2.1925	1110000000011110	1	6.7700	1110000000011110	1	1.3624	1110000000011110	1	5.810	1110000000011110	1	308	1110000000010000	1	0.633	1110000000010100	1
202411160300	3.4200	1110000000011110	1	 6.670	1110000000011110	1	2.6715	1110000000011110	1	6.700	1110000000011110	1	2.1560	1110000000011110	1	6.7800	1110000000011110	1	1.3306	1110000000011110	1	5.590	1110000000011110	1	321	1110000000010000	1	0.617	1110000000010100	1
202411160330	3.8700	1110000000011110	1	 7.040	1110000000011110	1	2.7037	1110000000011110	1	6.660	1110000000011110	1	2.1162	1110000000011110	1	6.8000	1110000000011110	1	1.3388	1110000000011110	1	5.590	1110000000011110	1	321	1110000000010000	1	0.651	1110000000010100	1
202411160400	3.4100	1110000000011110	1	 6.680	1110000000011110	1	2.4762	1110000000011110	1	6.480	1110000000011110	1	1.9323	1110000000011110	1	6.5100	1110000000011110	1	1.2075	1110000000011110	1	5.330	1110000000011110	1	337	1110000000010000	1	0.623	1110000000010100	1
202411160430	3.5700	1110000000011110	1	 6.320	1110000000011110	1	2.8680	1110000000011110	1	6.550	1110000000011110	1	2.2784	1110000000011110	1	6.4300	1110000000011110	1	1.4140	1110000000011110	1	5.380	1110000000011110	1	333	1110000000010000	1	0.626	1110000000010100	1
