Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	THETA1 [degree]	STHETA1 [degree]	VSPEC1D_VEPK [-]	Skewf [-]	Kurtf [-]	DQF [-]	FQF [-]
2024-11-16T00:01:00.000Z	0.025	0.0050	0.000223	303.8	57.7	3.8112E-05	  0.34	 2.39	1010000000100000	1
2024-11-16T00:01:00.000Z	0.030	0.0050	0.000787	278.4	54.7	1.3436E-04	  1.83	 2.78	1010000000100000	1
2024-11-16T00:01:00.000Z	0.035	0.0050	0.011078	272.8	55.6	1.8923E-03	 -0.06	 2.72	1010000000100000	1
2024-11-16T00:01:00.000Z	0.040	0.0050	0.025532	253.1	40.5	4.3612E-03	  3.80	 5.67	1010000000100000	1
2024-11-16T00:01:00.000Z	0.045	0.0050	0.028932	263.0	45.3	4.9419E-03	 -1.90	 5.12	1010000000100000	1
2024-11-16T00:01:00.000Z	0.050	0.0050	0.055420	275.6	44.1	9.4664E-03	  1.76	 3.88	1010000000100000	1
2024-11-16T00:01:00.000Z	0.055	0.0050	0.073326	313.6	57.5	1.2525E-02	  1.45	 2.05	1010000000100000	1
2024-11-16T00:01:00.000Z	0.060	0.0050	0.314171	327.7	55.6	5.3664E-02	  0.03	 1.72	1010000000100000	1
2024-11-16T00:01:00.000Z	0.065	0.0050	0.419872	337.5	45.4	7.1719E-02	 -0.36	 1.83	1010000000100000	1
2024-11-16T00:01:00.000Z	0.070	0.0050	0.678525	350.2	31.7	1.1590E-01	 -2.14	 5.49	1010000000100000	1
2024-11-16T00:01:00.000Z	0.075	0.0050	0.595802	344.5	27.4	1.0177E-01	  1.31	 8.47	1010000000100000	1
2024-11-16T00:01:00.000Z	0.080	0.0050	0.512828	351.6	31.7	8.7597E-02	 -1.78	 5.02	1010000000100000	1
2024-11-16T00:01:00.000Z	0.085	0.0050	0.297363	353.0	41.9	5.0793E-02	 -1.29	 3.11	1010000000100000	1
2024-11-16T00:01:00.000Z	0.090	0.0050	0.113862	324.8	50.2	1.9449E-02	  0.68	 1.89	1010000000100000	1
2024-11-16T00:01:00.000Z	0.095	0.0050	0.258513	330.5	36.9	4.4157E-02	 -0.49	 4.10	1010000000100000	1
2024-11-16T00:01:00.000Z	0.100	0.0075	0.434830	345.9	29.5	7.4274E-02	 -0.40	 2.65	1010000000100000	1
2024-11-16T00:01:00.000Z	0.110	0.0100	0.415692	326.3	37.7	7.1005E-02	 -0.34	 2.70	1010000000100000	1
2024-11-16T00:01:00.000Z	0.120	0.0100	0.768917	316.4	37.4	1.3134E-01	 -0.22	 2.50	1010000000100000	1
2024-11-16T00:01:00.000Z	0.130	0.0100	1.685716	300.9	26.5	2.8794E-01	 -0.13	 4.89	1010000000100000	1
2024-11-16T00:01:00.000Z	0.140	0.0100	2.965898	285.5	32.1	5.0661E-01	  0.45	 3.51	1010000000100000	1
2024-11-16T00:01:00.000Z	0.150	0.0100	5.854400	268.6	25.0	1.0000E+00	  1.62	 6.66	1010000000100000	1
2024-11-16T00:01:00.000Z	0.160	0.0100	4.769287	271.4	25.9	8.1465E-01	  1.03	 5.64	1010000000100000	1
2024-11-16T00:01:00.000Z	0.170	0.0100	3.025905	267.2	31.1	5.1686E-01	  0.20	 3.76	1010000000100000	1
2024-11-16T00:01:00.000Z	0.180	0.0100	2.079600	267.2	34.8	3.5522E-01	  0.61	 3.26	1010000000100000	1
2024-11-16T00:01:00.000Z	0.190	0.0100	0.853981	261.6	38.2	1.4587E-01	  0.27	 2.16	1010000000100000	1
2024-11-16T00:01:00.000Z	0.200	0.0100	0.547269	258.8	44.2	9.3480E-02	  0.37	 2.53	1010000000100000	1
2024-11-16T00:01:00.000Z	0.210	0.0100	0.906847	254.5	35.5	1.5490E-01	  0.53	 3.69	1010000000100000	1
2024-11-16T00:01:00.000Z	0.220	0.0100	0.502682	250.3	40.7	8.5864E-02	 -0.01	 3.57	1010000000100000	1
2024-11-16T00:01:00.000Z	0.230	0.0100	0.661781	251.7	42.6	1.1304E-01	 -0.19	 2.20	1010000000100000	1
2024-11-16T00:01:00.000Z	0.240	0.0100	0.692224	247.5	35.5	1.1824E-01	  0.30	 3.50	1010000000100000	1
2024-11-16T00:01:00.000Z	0.250	0.0100	0.419872	246.1	47.8	7.1719E-02	 -0.35	 2.08	1010000000100000	1
2024-11-16T00:01:00.000Z	0.260	0.0100	0.312607	248.9	46.7	5.3397E-02	  0.43	 2.10	1010000000100000	1
2024-11-16T00:01:00.000Z	0.270	0.0100	0.635846	247.5	32.6	1.0861E-01	  0.52	 3.63	1010000000100000	1
2024-11-16T00:01:00.000Z	0.280	0.0100	0.361392	240.5	41.5	6.1730E-02	  0.85	 2.76	1010000000100000	1
2024-11-16T00:01:00.000Z	0.290	0.0100	0.291467	260.2	38.0	4.9786E-02	 -0.76	 2.31	1010000000100000	1
2024-11-16T00:01:00.000Z	0.300	0.0100	0.271767	260.2	45.7	4.6421E-02	 -0.62	 2.22	1010000000100000	1
2024-11-16T00:01:00.000Z	0.310	0.0100	0.156798	250.3	41.3	2.6783E-02	  0.37	 3.25	1010000000100000	1
2024-11-16T00:01:00.000Z	0.320	0.0100	0.153690	253.1	45.9	2.6252E-02	  0.01	 1.62	1010000000100000	1
2024-11-16T00:01:00.000Z	0.330	0.0100	0.118499	257.3	51.0	2.0241E-02	 -0.24	 1.91	1010000000100000	1
2024-11-16T00:01:00.000Z	0.340	0.0100	0.152929	258.8	44.9	2.6122E-02	 -0.16	 2.24	1010000000100000	1
2024-11-16T00:01:00.000Z	0.350	0.0100	0.117328	258.8	48.2	2.0041E-02	 -0.03	 2.10	1010000000100000	1
2024-11-16T00:01:00.000Z	0.360	0.0100	0.111602	250.3	49.9	1.9063E-02	 -0.12	 1.90	1010000000100000	1
2024-11-16T00:01:00.000Z	0.370	0.0100	0.098489	241.9	50.5	1.6823E-02	 -0.06	 1.96	1010000000100000	1
2024-11-16T00:01:00.000Z	0.380	0.0100	0.088232	240.5	48.3	1.5071E-02	  0.31	 2.13	1010000000100000	1
2024-11-16T00:01:00.000Z	0.390	0.0100	0.094156	253.1	48.3	1.6083E-02	 -0.59	 2.25	1010000000100000	1
2024-11-16T00:01:00.000Z	0.400	0.0100	0.085193	241.9	45.3	1.4552E-02	  0.32	 2.15	1010000000100000	1
2024-11-16T00:01:00.000Z	0.410	0.0100	0.093220	250.3	50.8	1.5923E-02	 -0.20	 1.90	1010000000100000	1
2024-11-16T00:01:00.000Z	0.420	0.0100	0.072237	243.3	46.4	1.2339E-02	  0.19	 2.58	1010000000100000	1
2024-11-16T00:01:00.000Z	0.430	0.0100	0.060037	239.1	44.5	1.0255E-02	  0.97	 2.99	1010000000100000	1
2024-11-16T00:01:00.000Z	0.440	0.0100	0.043161	243.3	52.4	7.3724E-03	  0.30	 1.93	1010000000100000	1
2024-11-16T00:01:00.000Z	0.450	0.0100	0.059141	247.5	44.3	1.0102E-02	 -0.01	 3.00	1010000000100000	1
2024-11-16T00:01:00.000Z	0.460	0.0100	0.040243	251.7	52.8	6.8740E-03	 -0.27	 1.91	1010000000100000	1
2024-11-16T00:01:00.000Z	0.470	0.0100	0.032621	251.7	55.2	5.5720E-03	  0.10	 1.93	1010000000100000	1
2024-11-16T00:01:00.000Z	0.480	0.0100	0.036414	236.3	52.1	6.2199E-03	  0.47	 1.75	1010000000100000	1
2024-11-16T00:01:00.000Z	0.490	0.0100	0.034293	232.0	54.9	5.8576E-03	  0.67	 2.14	1010000000100000	1
2024-11-16T00:01:00.000Z	0.500	0.0100	0.034122	244.7	54.3	5.8284E-03	 -0.20	 1.98	1010000000100000	1
2024-11-16T00:01:00.000Z	0.510	0.0100	0.022197	261.6	56.0	3.7915E-03	 -0.64	 2.29	1010000000100000	1
2024-11-16T00:01:00.000Z	0.520	0.0100	0.022873	234.8	54.7	3.9070E-03	 -0.34	 2.28	1010000000100000	1
2024-11-16T00:01:00.000Z	0.530	0.0100	0.022308	233.4	53.0	3.8105E-03	  0.31	 2.25	1010000000100000	1
2024-11-16T00:01:00.000Z	0.540	0.0100	0.022873	237.7	51.0	3.9070E-03	  0.09	 1.94	1010000000100000	1
2024-11-16T00:01:00.000Z	0.550	0.0100	0.023806	239.1	57.1	4.0663E-03	  0.36	 1.72	1010000000100000	1
2024-11-16T00:01:00.000Z	0.560	0.0100	0.025152	246.1	57.5	4.2963E-03	 -0.12	 1.46	1010000000100000	1
2024-11-16T00:01:00.000Z	0.570	0.0100	0.021541	213.8	62.6	3.6795E-03	  0.85	 1.87	1010000000100000	1
2024-11-16T00:01:00.000Z	0.580	0.0100	0.018448	232.0	55.2	3.1511E-03	  0.30	 2.10	1010000000100000	1
2024-11-16T00:31:00.000Z	0.025	0.0050	0.000705	261.6	58.6	9.9039E-05	  3.69	 2.94	1010000000100000	1
2024-11-16T00:31:00.000Z	0.030	0.0050	0.003254	263.0	55.2	4.5738E-04	 -0.11	 2.81	1010000000100000	1
2024-11-16T00:31:00.000Z	0.035	0.0050	0.007099	281.3	63.5	9.9777E-04	  1.89	 2.34	1010000000100000	1
2024-11-16T00:31:00.000Z	0.040	0.0050	0.015720	260.2	57.1	2.2094E-03	 -0.39	 2.49	1010000000100000	1
2024-11-16T00:31:00.000Z	0.045	0.0050	0.034986	254.5	49.9	4.9173E-03	  2.59	 3.50	1010000000100000	1
2024-11-16T00:31:00.000Z	0.050	0.0050	0.032949	289.7	62.3	4.6310E-03	  0.84	 1.71	1010000000100000	1
2024-11-16T00:31:00.000Z	0.055	0.0050	0.083927	329.1	52.8	1.1796E-02	 -0.68	 2.43	1010000000100000	1
2024-11-16T00:31:00.000Z	0.060	0.0050	0.335268	292.5	38.0	4.7122E-02	  2.00	 4.65	1010000000100000	1
2024-11-16T00:31:00.000Z	0.065	0.0050	0.854001	330.5	35.9	1.2003E-01	  0.14	 3.12	1010000000100000	1
2024-11-16T00:31:00.000Z	0.070	0.0050	0.558328	324.8	39.6	7.8473E-02	  0.12	 2.57	1010000000100000	1
2024-11-16T00:31:00.000Z	0.075	0.0050	0.411561	334.7	40.8	5.7845E-02	 -0.09	 2.09	1010000000100000	1
2024-11-16T00:31:00.000Z	0.080	0.0050	0.500170	343.1	34.0	7.0299E-02	 -0.38	 5.28	1010000000100000	1
2024-11-16T00:31:00.000Z	0.085	0.0050	0.668438	326.3	26.5	9.3949E-02	 -0.43	 4.98	1010000000100000	1
