Time	STATUS	LATITUDE	dqf_LATITUDE	fqf_LATITUDE	LONGITUDE	dqf_LONGITUDE	fqf_LONGITUDE
202009010000	3	55.00232	1110000000000000	1	13.15450	1110000000000000	1
202009010030	3	55.00231	1110000000000000	1	13.15445	1110000000000000	1
202009010100	3	55.00238	1110000000000000	1	13.15445	1110000000000000	1
202009010130	3	55.00239	1110000000000000	1	13.15445	1110000000000000	1
202009010200	3	55.00244	1110000000000000	1	13.15439	1110000000000000	1
202009010230	3	55.00247	1110000000000000	1	13.15441	1110000000000000	1
202009010300	3	55.00242	1110000000000000	1	13.15437	1110000000000000	1
202009010330	3	55.00240	1110000000000000	1	13.15439	1110000000000000	1
202009010400	3	55.00248	1110000000000000	1	13.15437	1110000000000000	1
202009010430	3	55.00241	1110000000000000	1	13.15439	1110000000000000	1
202009010500	3	55.00243	1110000000000000	1	13.15439	1110000000000000	1
202009010530	3	55.00240	1110000000000000	1	13.15437	1110000000000000	1
202009010600	3	55.00244	1110000000000000	1	13.15441	1110000000000000	1
202009010630	3	55.00242	1110000000000000	1	13.15435	1110000000000000	1
202009010700	3	55.00242	1110000000000000	1	13.15437	1110000000000000	1
202009010730	3	55.00244	1110000000000000	1	13.15437	1110000000000000	1
202009010800	3	55.00246	1110000000000000	1	13.15437	1110000000000000	1
202009010830	3	55.00241	1110000000000000	1	13.15441	1110000000000000	1
202009010900	3	55.00243	1110000000000000	1	13.15437	1110000000000000	1
202009010930	3	55.00239	1110000000000000	1	13.15443	1110000000000000	1
202009011000	3	55.00239	1110000000000000	1	13.15443	1110000000000000	1
202009011030	3	55.00238	1110000000000000	1	13.15443	1110000000000000	1
202009011100	3	55.00240	1110000000000000	1	13.15439	1110000000000000	1
202009011130	3	55.00245	1110000000000000	1	13.15439	1110000000000000	1
202009011200	3	55.00247	1110000000000000	1	13.15435	1110000000000000	1
202009011230	3	55.00243	1110000000000000	1	13.15435	1110000000000000	1
202009011300	3	55.00247	1110000000000000	1	13.15437	1110000000000000	1
202009011330	3	55.00253	1110000000000000	1	13.15437	1110000000000000	1
202009011400	3	55.00247	1110000000000000	1	13.15437	1110000000000000	1
202009011430	3	55.00246	1110000000000000	1	13.15439	1110000000000000	1
202009011500	3	55.00246	1110000000000000	1	13.15437	1110000000000000	1
202009011530	3	55.00246	1110000000000000	1	13.15435	1110000000000000	1
202009011600	3	55.00244	1110000000000000	1	13.15439	1110000000000000	1
