Time	heave [m]	north [m]	west [m]	status [-]	despiked [m]	DQF [-]	FQF [-]
2020-09-01T00:00:00.000Z	 0.3100	-0.1700	 0.2300	0	 0.3100	1011111111000000	1
2020-09-01T00:00:00.781Z	-0.2300	-0.1200	-0.0200	0	-0.2300	1011111111000000	1
2020-09-01T00:00:01.562Z	-0.2700	 0.0900	-0.1800	0	-0.2700	1011111111000000	1
2020-09-01T00:00:02.343Z	 0.2800	-0.0700	 0.1200	0	 0.2800	1011111111000000	1
2020-09-01T00:00:03.124Z	 0.1400	-0.2600	 0.2200	0	 0.1400	1011111111000000	1
2020-09-01T00:00:03.905Z	 0.0300	-0.1600	 0.1700	0	 0.0300	1011111111000000	1
2020-09-01T00:00:04.685Z	-0.0700	-0.2400	 0.1700	0	-0.0700	1011111111000000	1
2020-09-01T00:00:05.466Z	-0.3800	-0.1100	-0.0100	0	-0.3800	1011111111000000	1
2020-09-01T00:00:06.247Z	 0.0900	 0.0000	 0.0000	0	 0.0900	1011111111000000	1
2020-09-01T00:00:07.028Z	 0.3300	-0.2000	 0.1000	0	 0.3300	1011111111000000	1
2020-09-01T00:00:07.809Z	-0.0700	-0.2800	 0.0800	0	-0.0700	1011111111000000	1
2020-09-01T00:00:08.590Z	-0.0400	-0.1000	 0.0600	0	-0.0400	1011111111000000	1
2020-09-01T00:00:09.371Z	-0.1200	-0.0700	 0.0400	0	-0.1200	1011111111000000	1
2020-09-01T00:00:10.152Z	 0.0400	 0.0300	-0.0500	0	 0.0400	1011111111000000	1
2020-09-01T00:00:10.933Z	 0.1700	-0.0100	-0.0800	0	 0.1700	1011111111000000	1
2020-09-01T00:00:11.714Z	-0.2700	-0.0200	-0.1900	0	-0.2700	1011111111000000	1
2020-09-01T00:00:12.495Z	 0.0600	 0.0800	-0.1400	0	 0.0600	1011111111000000	1
2020-09-01T00:00:13.275Z	 0.1800	 0.0900	 0.1500	0	 0.1800	1011111111000000	1
2020-09-01T00:00:14.056Z	-0.0500	 0.1000	 0.0200	0	-0.0500	1011111111000000	1
2020-09-01T00:00:14.837Z	-0.1700	 0.1500	-0.3500	0	-0.1700	1011111111000000	1
