Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	THETA1 [degree]	STHETA1 [degree]	DQF [-]	FQF [-]
2024-11-16T00:00:00.000Z	0.000	0.005	0.000000	   NaN	  NaN	1010000000100000	1
2024-11-16T00:00:00.000Z	0.010	0.010	0.002066	   NaN	  NaN	1010000000100000	1
2024-11-16T00:00:00.000Z	0.020	0.010	0.007505	   NaN	  NaN	1010000000100000	1
2024-11-16T00:00:00.000Z	0.030	0.010	0.014404	102.40	80.63	1010000000100000	1
2024-11-16T00:00:00.000Z	0.040	0.010	0.013660	 29.73	77.66	1010000000100000	1
2024-11-16T00:00:00.000Z	0.050	0.010	0.065846	106.93	74.41	1010000000100000	1
2024-11-16T00:00:00.000Z	0.060	0.010	0.511174	 25.07	76.56	1010000000100000	1
2024-11-16T00:00:00.000Z	0.070	0.010	0.721845	354.32	54.36	1010000000100000	1
2024-11-16T00:00:00.000Z	0.080	0.010	0.486895	350.15	51.04	1010000000100000	1
2024-11-16T00:00:00.000Z	0.090	0.010	0.428906	339.81	48.36	1010000000100000	1
2024-11-16T00:00:00.000Z	0.100	0.010	0.335917	335.52	46.30	1010000000100000	1
2024-11-16T00:00:00.000Z	0.110	0.010	0.426201	347.53	49.73	1010000000100000	1
2024-11-16T00:00:00.000Z	0.120	0.010	1.156194	310.79	42.21	1010000000100000	1
2024-11-16T00:00:00.000Z	0.130	0.010	1.603438	292.99	33.16	1010000000100000	1
2024-11-16T00:00:00.000Z	0.140	0.010	7.535277	275.38	27.38	1010000000100000	1
2024-11-16T00:00:00.000Z	0.150	0.010	6.479060	268.36	32.60	1010000000100000	1
2024-11-16T00:00:00.000Z	0.160	0.010	4.660222	274.59	28.55	1010000000100000	1
2024-11-16T00:00:00.000Z	0.170	0.010	3.329841	267.25	34.34	1010000000100000	1
2024-11-16T00:00:00.000Z	0.180	0.010	3.466611	258.72	32.07	1010000000100000	1
2024-11-16T00:00:00.000Z	0.190	0.010	1.826827	258.51	31.12	1010000000100000	1
2024-11-16T00:00:00.000Z	0.200	0.010	1.245408	246.31	31.97	1010000000100000	1
2024-11-16T00:00:00.000Z	0.210	0.010	1.256319	262.92	38.59	1010000000100000	1
2024-11-16T00:00:00.000Z	0.220	0.010	0.642571	258.37	43.38	1010000000100000	1
2024-11-16T00:00:00.000Z	0.230	0.010	0.438546	261.40	47.86	1010000000100000	1
2024-11-16T00:00:00.000Z	0.240	0.010	0.539857	259.03	41.79	1010000000100000	1
2024-11-16T00:00:00.000Z	0.250	0.010	0.436048	245.97	42.99	1010000000100000	1
2024-11-16T00:00:00.000Z	0.260	0.010	0.473833	252.65	44.68	1010000000100000	1
2024-11-16T00:00:00.000Z	0.270	0.010	0.362838	248.41	44.63	1010000000100000	1
2024-11-16T00:00:00.000Z	0.280	0.010	0.468239	250.85	40.04	1010000000100000	1
2024-11-16T00:00:00.000Z	0.290	0.010	0.526233	249.17	42.28	1010000000100000	1
2024-11-16T00:00:00.000Z	0.300	0.010	0.260095	246.78	48.52	1010000000100000	1
