Time	VHM0	dqf_VHM0	fqf_VHM0	VTPK	dqf_VTPK	fqf_VTPK	VTM02	dqf_VTM02	fqf_VTM02	VPED	dqf_VPED	fqf_VPED	VPSP	dqf_VPSP	fqf_VPSP	VZMX	dqf_VZMX	fqf_VZMX	VTZM	dqf_VTZM	fqf_VTZM	VH110	dqf_VH110	fqf_VH110	VAVH	dqf_VAVH	fqf_VAVH	VAVT	dqf_VAVT	fqf_VAVT	VTZA	dqf_VTZA	fqf_VTZA	VMDR	dqf_VMDR	fqf_VMDR	VHZA	dqf_VHZA	fqf_VHZA	VZNW	dqf_VZNW	fqf_VZNW	SLEV_H1	dqf_SLEV_H1	fqf_SLEV_H1	SLEV_H10	dqf_SLEV_H10	fqf_SLEV_H10
202411160000	2.5715	1010000000010110	1	 7.143	1010000000010411	4	5.520	1010000000010111	1	266.160	1010000000010100	1	28.440	1010000000010100	1	3.9378	1010000000010110	1	 6.640	1010000000010110	1	3.0171	1010000000010110	1	2.4183	1010000000010110	1	6.430	1010000000010110	1	5.450	1010000000010110	1	271.860	1010000000010100	1	1.5340	1010000000010110	1	218.000	1010000000010000	1	   0.231	1010000000010100	1	 0.231	1010000000010100	1
202411160001	2.5371	1010000000011110	1	 7.143	1010000000011411	4	5.550	1010000000011111	1	278.590	1010000000010100	1	30.570	1010000000010100	1	3.8528	1010000000011110	1	 6.780	1010000000011110	1	3.0372	1010000000011110	1	2.4715	1010000000011110	1	6.520	1010000000011110	1	5.610	1010000000011110	1	272.350	1010000000010100	1	1.6063	1010000000011110	1	213.000	1010000000010000	1	   0.223	1010000000010100	1	 0.228	1010000000010100	1
202411160002	2.5569	1010000000011110	1	 6.667	1010000000011111	1	5.550	1010000000011111	1	277.980	1010000000010100	1	27.680	1010000000010100	1	3.7204	1010000000011110	1	 6.720	1010000000011110	1	3.0199	1010000000011110	1	2.4467	1010000000011110	1	6.460	1010000000011110	1	5.600	1010000000011110	1	272.250	1010000000010100	1	1.5972	1010000000011110	1	213.000	1010000000010000	1	   0.212	1010000000010100	1	 0.222	1010000000010100	1
202411160003	2.5266	1010000000011110	1	 7.143	1010000000011111	1	5.560	1010000000011111	1	275.690	1010000000010100	1	27.940	1010000000010100	1	3.9079	1010000000011110	1	 6.730	1010000000011110	1	2.9663	1010000000011110	1	2.4091	1010000000011110	1	6.500	1010000000011110	1	5.580	1010000000011110	1	274.720	1010000000010100	1	1.5558	1010000000011110	1	214.000	1010000000010000	1	   0.235	1010000000010100	1	 0.219	1010000000010100	1
202411160004	2.4705	1010000000011110	1	 7.143	1010000000011111	1	5.470	1010000000011111	1	274.350	1010000000010100	1	28.390	1010000000010100	1	3.8759	1010000000011110	1	 6.700	1010000000011110	1	2.9223	1010000000011110	1	2.4107	1010000000011110	1	6.510	1010000000011110	1	5.560	1010000000011110	1	274.040	1010000000010100	1	1.5660	1010000000011110	1	215.000	1010000000010000	1	   0.220	1010000000010100	1	 0.216	1010000000010100	1
202411160005	2.4569	1010000000011110	1	 6.667	1010000000011111	1	5.430	1010000000011111	1	279.510	1010000000010100	1	29.400	1010000000010100	1	3.9378	1010000000011110	1	 6.640	1010000000011110	1	2.9744	1010000000011110	1	2.4219	1010000000011110	1	6.430	1010000000011110	1	5.620	1010000000011110	1	274.490	1010000000010100	1	1.5756	1010000000011110	1	212.000	1010000000010000	1	   0.181	1010000000010100	1	 0.211	1010000000010100	1
202411160006	2.5016	1010000000011110	1	 6.667	1010000000011111	1	5.470	1010000000011111	1	274.680	1010000000010100	1	27.560	1010000000010100	1	3.8514	1010000000011110	1	 6.770	1010000000011110	1	2.9165	1010000000011110	1	2.3893	1010000000011110	1	6.480	1010000000011110	1	5.480	1010000000011110	1	274.710	1010000000010100	1	1.5391	1010000000011110	1	218.000	1010000000010000	1	   0.226	1010000000010100	1	 0.204	1010000000010100	1
202411160007	2.4932	1010000000011110	1	 6.667	1010000000011111	1	5.550	1010000000011111	1	273.600	1010000000010100	1	29.190	1010000000010100	1	3.7975	1010000000011110	1	 6.630	1010000000011110	1	2.9257	1010000000011110	1	2.3987	1010000000011110	1	6.430	1010000000011110	1	5.550	1010000000011110	1	275.560	1010000000010100	1	1.5434	1010000000011110	1	215.000	1010000000010000	1	   0.175	1010000000010100	1	 0.199	1010000000010100	1
202411160008	2.4206	1010000000011110	1	 7.143	1010000000011111	1	5.440	1010000000011111	1	277.240	1010000000010100	1	30.890	1010000000010100	1	3.9079	1010000000011110	1	 6.730	1010000000011110	1	2.9710	1010000000011110	1	2.3850	1010000000011110	1	6.490	1010000000011110	1	5.520	1010000000011110	1	275.890	1010000000010100	1	1.5199	1010000000011110	1	216.000	1010000000010000	1	   0.225	1010000000010100	1	 0.194	1010000000010100	1
202411160009	2.4132	1010000000011110	1	 7.143	1010000000011111	1	5.430	1010000000011111	1	278.820	1010000000010100	1	25.740	1010000000010100	1	3.8759	1010000000011110	1	 6.700	1010000000011110	1	2.8513	1010000000011110	1	2.3300	1010000000011110	1	6.490	1010000000011110	1	5.550	1010000000011110	1	277.650	1010000000010100	1	1.5148	1010000000011110	1	215.000	1010000000010000	1	   0.177	1010000000010100	1	 0.187	1010000000010100	1
