Time	heave [m]	DQF [-]	FQF [-]
2023-10-10T00:00:00.061Z	0.4486	1011111110000000	1
2023-10-10T00:00:00.159Z	0.4711	1011111110000000	1
2023-10-10T00:00:00.258Z	0.5111	1011111110000000	1
2023-10-10T00:00:00.359Z	0.4386	1011111110000000	1
2023-10-10T00:00:00.461Z	0.4844	1011111110000000	1
2023-10-10T00:00:00.562Z	0.4465	1011111110000000	1
2023-10-10T00:00:00.664Z	0.4262	1011111110000000	1
2023-10-10T00:00:00.763Z	0.4693	1011111110000000	1
2023-10-10T00:00:00.861Z	0.5075	1011111110000000	1
2023-10-10T00:00:00.958Z	0.4563	1011111110000000	1
2023-10-10T00:00:01.057Z	0.4295	1011111110000000	1
2023-10-10T00:00:01.157Z	0.4573	1011111110000000	1
2023-10-10T00:00:01.260Z	0.4555	1011111110000000	1
2023-10-10T00:00:01.363Z	0.4641	1011111110000000	1
2023-10-10T00:00:01.463Z	0.5364	1011111110000000	1
2023-10-10T00:00:01.562Z	0.5346	1011111110000000	1
2023-10-10T00:00:01.659Z	0.5171	1011111110000000	1
2023-10-10T00:00:01.758Z	0.5675	1011111110000000	1
2023-10-10T00:00:01.858Z	0.5136	1011111110000000	1
2023-10-10T00:00:01.961Z	0.5379	1011111110000000	1
2023-10-10T00:00:02.063Z	0.4838	1011111110000000	1
2023-10-10T00:00:02.164Z	0.5472	1011111110000000	1
2023-10-10T00:00:02.262Z	0.4995	1011111110000000	1
2023-10-10T00:00:02.360Z	0.4573	1011111110000000	1
2023-10-10T00:00:02.459Z	0.4408	1011111110000000	1
2023-10-10T00:00:02.558Z	0.3731	1011111110000000	1
2023-10-10T00:00:02.660Z	0.5074	1011111110000000	1
2023-10-10T00:00:02.762Z	0.4207	1011111110000000	1
2023-10-10T00:00:02.865Z	0.4380	1011111110000000	1
2023-10-10T00:00:02.966Z	0.4191	1011111110000000	1
2023-10-10T00:00:03.064Z	0.4395	1011111110000000	1
2023-10-10T00:00:03.162Z	0.4502	1011111110000000	1
2023-10-10T00:00:03.259Z	0.4656	1011111110000000	1
