Time	heave [m]	DQF [-]	FQF [-]
2024-11-16T00:00:00.019Z	-0.1672	1011111110000000	1
2024-11-16T00:00:00.409Z	-0.0519	1011111110000000	1
2024-11-16T00:00:00.799Z	-0.2414	1011111110000000	1
2024-11-16T00:00:01.189Z	-0.0626	1011111110000000	1
2024-11-16T00:00:01.579Z	-0.3595	1011111110000000	1
2024-11-16T00:00:01.969Z	-0.4588	1011111110000000	1
2024-11-16T00:00:02.359Z	-0.5283	1011111110000000	1
2024-11-16T00:00:02.749Z	-0.1748	1011111110000000	1
2024-11-16T00:00:03.139Z	 0.4174	1011111110000000	1
2024-11-16T00:00:03.529Z	 0.6764	1011111110000000	1
2024-11-16T00:00:03.919Z	 1.0049	1011111110000000	1
2024-11-16T00:00:04.300Z	 1.2837	1011111110000000	1
2024-11-16T00:00:04.690Z	 1.0864	1011111110000000	1
2024-11-16T00:00:05.080Z	 1.1067	1011111110000000	1
2024-11-16T00:00:05.470Z	 0.5703	1011111110000000	1
2024-11-16T00:00:05.860Z	 0.4850	1011111110000000	1
2024-11-16T00:00:06.250Z	 0.2617	1011111110000000	1
2024-11-16T00:00:06.640Z	 0.2128	1011111110000000	1
2024-11-16T00:00:07.030Z	 0.2667	1011111110000000	1
2024-11-16T00:00:07.420Z	 0.0059	1011111110000000	1
2024-11-16T00:00:07.810Z	-0.0351	1011111110000000	1
2024-11-16T00:00:08.200Z	-0.1274	1011111110000000	1
2024-11-16T00:00:08.590Z	-0.3046	1011111110000000	1
2024-11-16T00:00:08.980Z	-0.0660	1011111110000000	1
2024-11-16T00:00:09.370Z	-0.0771	1011111110000000	1
2024-11-16T00:00:09.760Z	 0.1661	1011111110000000	1
2024-11-16T00:00:10.150Z	 0.0692	1011111110000000	1
2024-11-16T00:00:10.540Z	 0.2723	1011111110000000	1
2024-11-16T00:00:10.930Z	 0.2752	1011111110000000	1
2024-11-16T00:00:11.320Z	 0.3988	1011111110000000	1
2024-11-16T00:00:11.710Z	 0.2179	1011111110000000	1
2024-11-16T00:00:12.100Z	-0.0583	1011111110000000	1
2024-11-16T00:00:12.490Z	-0.2266	1011111110000000	1
2024-11-16T00:00:12.880Z	-0.5393	1011111110000000	1
2024-11-16T00:00:13.270Z	-0.5669	1011111110000000	1
2024-11-16T00:00:13.660Z	-0.6665	1011111110000000	1
2024-11-16T00:00:14.050Z	-0.0963	1011111110000000	1
2024-11-16T00:00:14.440Z	 0.1088	1011111110000000	1
2024-11-16T00:00:14.830Z	 0.5406	1011111110000000	1
