Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	DQF [-]	FQF [-]
2024-11-16T00:00:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:00:00.000Z	0.010	0.010	0.000545	1010000000100000	1
2024-11-16T00:00:00.000Z	0.020	0.010	0.002229	1010000000100000	1
2024-11-16T00:00:00.000Z	0.030	0.010	0.006823	1010000000100000	1
2024-11-16T00:00:00.000Z	0.040	0.010	0.013761	1010000000100000	1
2024-11-16T00:00:00.000Z	0.050	0.010	0.047684	1010000000100000	1
2024-11-16T00:00:00.000Z	0.060	0.010	0.512237	1010000000100000	1
2024-11-16T00:00:00.000Z	0.070	0.010	0.575388	1010000000100000	1
2024-11-16T00:00:00.000Z	0.080	0.010	0.439661	1010000000100000	1
2024-11-16T00:00:00.000Z	0.090	0.010	0.327941	1010000000100000	1
2024-11-16T00:00:00.000Z	0.100	0.010	0.594987	1010000000100000	1
2024-11-16T00:00:00.000Z	0.110	0.010	0.576435	1010000000100000	1
2024-11-16T00:00:00.000Z	0.120	0.010	1.036517	1010000000100000	1
2024-11-16T00:00:00.000Z	0.130	0.010	1.539803	1010000000100000	1
2024-11-16T00:00:00.000Z	0.140	0.010	5.922176	1010000000100000	1
2024-11-16T00:00:00.000Z	0.150	0.010	5.490604	1010000000100000	1
2024-11-16T00:00:00.000Z	0.160	0.010	5.233357	1010000000100000	1
2024-11-16T00:00:00.000Z	0.170	0.010	5.769131	1010000000100000	1
2024-11-16T00:00:00.000Z	0.180	0.010	3.450078	1010000000100000	1
2024-11-16T00:00:00.000Z	0.190	0.010	1.269921	1010000000100000	1
2024-11-16T00:00:00.000Z	0.200	0.010	0.949779	1010000000100000	1
2024-11-16T00:00:00.000Z	0.210	0.010	1.399021	1010000000100000	1
2024-11-16T00:00:00.000Z	0.220	0.010	0.679710	1010000000100000	1
2024-11-16T00:00:00.000Z	0.230	0.010	0.619363	1010000000100000	1
2024-11-16T00:00:00.000Z	0.240	0.010	0.501464	1010000000100000	1
2024-11-16T00:00:00.000Z	0.250	0.010	0.532124	1010000000100000	1
2024-11-16T00:00:00.000Z	0.260	0.010	0.618354	1010000000100000	1
2024-11-16T00:00:00.000Z	0.270	0.010	0.401733	1010000000100000	1
2024-11-16T00:00:00.000Z	0.280	0.010	0.238543	1010000000100000	1
2024-11-16T00:00:00.000Z	0.290	0.010	0.324168	1010000000100000	1
2024-11-16T00:00:00.000Z	0.300	0.010	0.209948	1010000000100000	1
2024-11-16T00:00:00.000Z	0.310	0.010	0.112473	1010000000100000	1
2024-11-16T00:00:00.000Z	0.320	0.010	0.177889	1010000000100000	1
2024-11-16T00:00:00.000Z	0.330	0.010	0.213419	1010000000100000	1
2024-11-16T00:00:00.000Z	0.340	0.010	0.133505	1010000000100000	1
2024-11-16T00:00:00.000Z	0.350	0.010	0.084401	1010000000100000	1
2024-11-16T00:00:00.000Z	0.360	0.010	0.079955	1010000000100000	1
2024-11-16T00:00:00.000Z	0.370	0.010	0.103863	1010000000100000	1
2024-11-16T00:00:00.000Z	0.380	0.010	0.120174	1010000000100000	1
2024-11-16T00:00:00.000Z	0.390	0.010	0.150058	1010000000100000	1
2024-11-16T00:00:00.000Z	0.400	0.010	0.058453	1010000000100000	1
2024-11-16T00:00:00.000Z	0.410	0.010	0.054976	1010000000100000	1
2024-11-16T00:00:00.000Z	0.420	0.010	0.059626	1010000000100000	1
2024-11-16T00:00:00.000Z	0.430	0.010	0.035554	1010000000100000	1
2024-11-16T00:00:00.000Z	0.440	0.010	0.023841	1010000000100000	1
2024-11-16T00:00:00.000Z	0.450	0.010	0.043197	1010000000100000	1
2024-11-16T00:00:00.000Z	0.460	0.010	0.034937	1010000000100000	1
2024-11-16T00:00:00.000Z	0.470	0.010	0.025362	1010000000100000	1
2024-11-16T00:00:00.000Z	0.480	0.010	0.026899	1010000000100000	1
2024-11-16T00:00:00.000Z	0.490	0.010	0.026435	1010000000100000	1
2024-11-16T00:00:00.000Z	0.500	0.005	0.023990	1010000000100000	1
2024-11-16T00:01:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:01:00.000Z	0.010	0.010	0.000721	1010000000100000	1
2024-11-16T00:01:00.000Z	0.020	0.010	0.001203	1010000000100000	1
2024-11-16T00:01:00.000Z	0.030	0.010	0.006027	1010000000100000	1
2024-11-16T00:01:00.000Z	0.040	0.010	0.017774	1010000000100000	1
2024-11-16T00:01:00.000Z	0.050	0.010	0.024981	1010000000100000	1
2024-11-16T00:01:00.000Z	0.060	0.010	0.635805	1010000000100000	1
2024-11-16T00:01:00.000Z	0.070	0.010	0.718419	1010000000100000	1
2024-11-16T00:01:00.000Z	0.080	0.010	0.387042	1010000000100000	1
2024-11-16T00:01:00.000Z	0.090	0.010	0.553237	1010000000100000	1
2024-11-16T00:01:00.000Z	0.100	0.010	0.414486	1010000000100000	1
2024-11-16T00:01:00.000Z	0.110	0.010	0.602062	1010000000100000	1
2024-11-16T00:01:00.000Z	0.120	0.010	0.827086	1010000000100000	1
2024-11-16T00:01:00.000Z	0.130	0.010	1.498018	1010000000100000	1
2024-11-16T00:01:00.000Z	0.140	0.010	7.035058	1010000000100000	1
2024-11-16T00:01:00.000Z	0.150	0.010	8.137570	1010000000100000	1
2024-11-16T00:01:00.000Z	0.160	0.010	5.599592	1010000000100000	1
2024-11-16T00:01:00.000Z	0.170	0.010	6.069538	1010000000100000	1
2024-11-16T00:01:00.000Z	0.180	0.010	3.101532	1010000000100000	1
2024-11-16T00:01:00.000Z	0.190	0.010	2.151168	1010000000100000	1
2024-11-16T00:01:00.000Z	0.200	0.010	0.903692	1010000000100000	1
2024-11-16T00:01:00.000Z	0.210	0.010	0.608871	1010000000100000	1
2024-11-16T00:01:00.000Z	0.220	0.010	0.745889	1010000000100000	1
2024-11-16T00:01:00.000Z	0.230	0.010	0.570817	1010000000100000	1
2024-11-16T00:01:00.000Z	0.240	0.010	0.620752	1010000000100000	1
2024-11-16T00:01:00.000Z	0.250	0.010	0.620709	1010000000100000	1
2024-11-16T00:01:00.000Z	0.260	0.010	0.535797	1010000000100000	1
2024-11-16T00:01:00.000Z	0.270	0.010	0.380752	1010000000100000	1
2024-11-16T00:01:00.000Z	0.280	0.010	0.262589	1010000000100000	1
