Time	VHM0	dqf_VHM0	fqf_VHM0	VTPK	dqf_VTPK	fqf_VTPK	VTM02	dqf_VTM02	fqf_VTM02	VPED	dqf_VPED	fqf_VPED	VPSP	dqf_VPSP	fqf_VPSP	VZMX	dqf_VZMX	fqf_VZMX	VTZM	dqf_VTZM	fqf_VTZM	VH110	dqf_VH110	fqf_VH110	VAVH	dqf_VAVH	fqf_VAVH	VAVT	dqf_VAVT	fqf_VAVT	VTZA	dqf_VTZA	fqf_VTZA	VMDR	dqf_VMDR	fqf_VMDR	VHZA	dqf_VHZA	fqf_VHZA	VZNW	dqf_VZNW	fqf_VZNW	SLEV_H1	dqf_SLEV_H1	fqf_SLEV_H1	SLEV_H10	dqf_SLEV_H10	fqf_SLEV_H10
202411160000	2.5567	1010000000010110	1	 7.143	1010000000010111	1	5.510	1010000000010111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000010410	4	6.800	1010000000010410	4	3.0059	1010000000010110	1	2.4539	1010000000010110	1	6.520	1010000000010110	1	5.500	1010000000010110	1	-999.000	9999999999999999	9	1.5941	1010000000010110	1	212.000	1010000000010000	1	 0.211	1010000000010100	1	 0.180	1010000000010100	1
202411160001	2.6938	1010000000011110	1	 6.667	1010000000011111	1	5.570	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011410	4	6.800	1010000000011410	4	3.0926	1010000000011110	1	2.4973	1010000000011110	1	6.460	1010000000011110	1	5.540	1010000000011110	1	-999.000	9999999999999999	9	1.6267	1010000000011110	1	210.000	1010000000010000	1	 0.147	1010000000010100	1	 0.177	1010000000010100	1
202411160002	2.5086	1010000000011110	1	 6.667	1010000000011111	1	5.520	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011410	4	6.800	1010000000011410	4	2.9689	1010000000011110	1	2.4257	1010000000011110	1	6.530	1010000000011110	1	5.510	1010000000011110	1	-999.000	9999999999999999	9	1.5746	1010000000011110	1	211.000	1010000000010000	1	 0.215	1010000000010100	1	 0.170	1010000000010100	1
202411160003	2.4973	1010000000011110	1	 7.143	1010000000011111	1	5.440	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011410	4	6.800	1010000000011410	4	2.9952	1010000000011110	1	2.4520	1010000000011110	1	6.400	1010000000011110	1	5.410	1010000000011110	1	-999.000	9999999999999999	9	1.5761	1010000000011110	1	215.000	1010000000010000	1	 0.170	1010000000010100	1	 0.170	1010000000010100	1
202411160004	2.5224	1010000000011110	1	 6.667	1010000000011111	1	5.450	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9512	1010000000011110	1	6.770	1010000000011110	1	2.9785	1010000000011110	1	2.4305	1010000000011110	1	6.430	1010000000011110	1	5.460	1010000000011110	1	-999.000	9999999999999999	9	1.5735	1010000000011110	1	212.000	1010000000010000	1	 0.152	1010000000010100	1	 0.165	1010000000010100	1
202411160005	2.5138	1010000000011110	1	 6.667	1010000000011111	1	5.480	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011110	1	6.800	1010000000011110	1	2.9526	1010000000011110	1	2.4057	1010000000011110	1	6.520	1010000000011110	1	5.510	1010000000011110	1	-999.000	9999999999999999	9	1.5612	1010000000011110	1	211.000	1010000000010000	1	 0.159	1010000000010100	1	 0.155	1010000000010100	1
202411160006	2.4472	1010000000011110	1	 6.667	1010000000011111	1	5.500	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011110	1	6.800	1010000000011110	1	3.0099	1010000000011110	1	2.4388	1010000000011110	1	6.500	1010000000011110	1	5.540	1010000000011110	1	-999.000	9999999999999999	9	1.5766	1010000000011110	1	210.000	1010000000010000	1	 0.133	1010000000010100	1	 0.151	1010000000010100	1
202411160007	2.4811	1010000000011110	1	 6.667	1010000000011111	1	5.400	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011110	1	6.800	1010000000011110	1	2.9563	1010000000011110	1	2.3870	1010000000011110	1	6.420	1010000000011110	1	5.510	1010000000011110	1	-999.000	9999999999999999	9	1.5449	1010000000011110	1	210.000	1010000000010000	1	 0.158	1010000000010100	1	 0.146	1010000000010100	1
202411160008	2.4672	1010000000011110	1	 6.667	1010000000011111	1	5.390	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011110	1	6.800	1010000000011110	1	2.9235	1010000000011110	1	2.3843	1010000000011110	1	6.430	1010000000011110	1	5.550	1010000000011110	1	-999.000	9999999999999999	9	1.5501	1010000000011110	1	209.000	1010000000010000	1	 0.144	1010000000010100	1	 0.139	1010000000010100	1
202411160009	2.4104	1010000000011110	1	 6.667	1010000000011111	1	5.400	1010000000011111	1	-999.000	9999999999999999	9	-999.000	9999999999999999	9	3.9575	1010000000011110	1	6.800	1010000000011110	1	2.9177	1010000000011110	1	2.3976	1010000000011110	1	6.390	1010000000011110	1	5.480	1010000000011110	1	-999.000	9999999999999999	9	1.5633	1010000000011110	1	212.000	1010000000010000	1	 0.144	1010000000010100	1	 0.129	1010000000010100	1
